  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.21 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.21 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.21 python
25187 pi        20   0   43272  16572   8116 S   1.0   1.9   0:18.23 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.23 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.23 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.23 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.23 python
25187 pi        20   0   43272  16572   8116 S   1.0   1.9   0:18.25 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.25 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.25 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.25 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.25 python
25187 pi        20   0   43272  16572   8116 S   1.0   1.9   0:18.27 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.27 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.27 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.27 python
